SMILES,pKa_num,pKa_value
C1CNCCCNC(CCNC1)c2c[nH]cn2,4,"2.00,5.20,7.54,13.00"
Nc1ccccc1C(=O)NO,2,"2.68,8.82"
ONC(=O)c1cccnc1,2,"3.19,7.99"
OC(O)=O,2,"6.12,9.75"
CCC(CC)(C(O)=O)C(CC)(CC)C(O)=O,2,"3.39,8.06"
OC(O)=C1OC(=CC(=O)C1=O)C(O)=O,1,9.82
CCC(C)C(CC)(C(O)=O)C(O)=O,1,8.40
NCC#N,1,5.16
NC1(CCCCC1)C2(N)CCCCC2,2,"5.62,10.41"
NCC(N)=NO,2,"2.47,7.94"
NN,2,"0.22,8.15"
NNC(=O)NN,2,"2.09,4.14"
NON=C(N)C=NO,2,"2.95,11.37"
NCC(N)CN,3,"3.83,7.99,9.59"
CON,1,4.65
NC(N)=N,1,13.50
[H+].[Cl-].CN(C)C(=N)N=C(N)N,2,"3.10,12.40"
NC(=S)C(N)=S,2,"10.86,13.10"
NC(=N)NC(N)=N,2,"3.01,13.00"
NCC(O)c1ccc(O)c(O)c1,3,"8.64,9.65,12.90"
NCCc1ccc(O)c(O)c1,3,"8.97,10.50,13.30"
N[C@@H](CCCNC(N)=N)C(=O)NO,3,"6.88,8.84,13.23"
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,4,"2.19,8.75,9.79,13.40"
OC(=O)C1=CC(=O)C=C(N1)C(O)=O,3,"1.40,3.11,10.88"
Oc1c(I)cc(I)c2cccnc12,2,"2.70,8.00"
Cc1ccnc(N)c1,1,7.47
Nc1ccncc1,1,9.22
Nc1[nH]c2ccccc2n1,1,7.45
NC1=CC(=O)C(=CC=C1)O,1,7.47
NC1=Nc2nc[nH]c2C(=O)N1,1,9.42
Cc1ccc(N)nc1,1,7.22
Cc1cccnc1N,1,7.08
NC1=C(NC(=O)NC1=O)C(O)=O,2,"2.63,8.72"
Nc1cc(nc(c1)C(O)=O)C(O)=O,2,"2.29,9.05"
Nc1nc(N)c2[nH]cnc2n1,2,"4.96,10.32"
